task,tarLoc,letterTarLoc,disLoc,singleton,dot,letterTar,letterSingleton
1,1,9,2,0,1,9,9
1,1,9,2,0,2,9,9
1,1,9,2,1,1,9,9
1,1,9,2,1,2,9,9
1,1,9,3,0,1,9,9
1,1,9,3,0,2,9,9
1,1,9,3,1,1,9,9
1,1,9,3,1,2,9,9
1,1,9,4,0,1,9,9
1,1,9,4,0,2,9,9
1,1,9,4,1,1,9,9
1,1,9,4,1,2,9,9
1,2,9,1,0,1,9,9
1,2,9,1,0,2,9,9
1,2,9,1,1,1,9,9
1,2,9,1,1,2,9,9
1,2,9,3,0,1,9,9
1,2,9,3,0,2,9,9
1,2,9,3,1,1,9,9
1,2,9,3,1,2,9,9
1,2,9,4,0,1,9,9
1,2,9,4,0,2,9,9
1,2,9,4,1,1,9,9
1,2,9,4,1,2,9,9
1,3,9,1,0,1,9,9
1,3,9,1,0,2,9,9
1,3,9,1,1,1,9,9
1,3,9,1,1,2,9,9
1,3,9,2,0,1,9,9
1,3,9,2,0,2,9,9
1,3,9,2,1,1,9,9
1,3,9,2,1,2,9,9
1,3,9,4,0,1,9,9
1,3,9,4,0,2,9,9
1,3,9,4,1,1,9,9
1,3,9,4,1,2,9,9
1,4,9,1,0,1,9,9
1,4,9,1,0,2,9,9
1,4,9,1,1,1,9,9
1,4,9,1,1,2,9,9
1,4,9,2,0,1,9,9
1,4,9,2,0,2,9,9
1,4,9,2,1,1,9,9
1,4,9,2,1,2,9,9
1,4,9,3,0,1,9,9
1,4,9,3,0,2,9,9
1,4,9,3,1,1,9,9
1,4,9,3,1,2,9,9
1,1,9,2,0,1,9,9
1,1,9,2,0,2,9,9
1,1,9,2,1,1,9,9
1,1,9,2,1,2,9,9
1,1,9,3,0,1,9,9
1,1,9,3,0,2,9,9
1,1,9,3,1,1,9,9
1,1,9,3,1,2,9,9
1,1,9,4,0,1,9,9
1,1,9,4,0,2,9,9
1,1,9,4,1,1,9,9
1,1,9,4,1,2,9,9
1,2,9,1,0,1,9,9
1,2,9,1,0,2,9,9
1,2,9,1,1,1,9,9
1,2,9,1,1,2,9,9
1,2,9,3,0,1,9,9
1,2,9,3,0,2,9,9
1,2,9,3,1,1,9,9
1,2,9,3,1,2,9,9
1,2,9,4,0,1,9,9
1,2,9,4,0,2,9,9
1,2,9,4,1,1,9,9
1,2,9,4,1,2,9,9
1,3,9,1,0,1,9,9
1,3,9,1,0,2,9,9
1,3,9,1,1,1,9,9
1,3,9,1,1,2,9,9
1,3,9,2,0,1,9,9
1,3,9,2,0,2,9,9
1,3,9,2,1,1,9,9
1,3,9,2,1,2,9,9
1,3,9,4,0,1,9,9
1,3,9,4,0,2,9,9
1,3,9,4,1,1,9,9
1,3,9,4,1,2,9,9
1,4,9,1,0,1,9,9
1,4,9,1,0,2,9,9
1,4,9,1,1,1,9,9
1,4,9,1,1,2,9,9
1,4,9,2,0,1,9,9
1,4,9,2,0,2,9,9
1,4,9,2,1,1,9,9
1,4,9,2,1,2,9,9
1,4,9,3,0,1,9,9
1,4,9,3,0,2,9,9
1,4,9,3,1,1,9,9
1,4,9,3,1,2,9,9
1,1,9,2,0,1,9,9
1,1,9,2,0,2,9,9
1,1,9,2,1,1,9,9
1,1,9,2,1,2,9,9
1,1,9,3,0,1,9,9
1,1,9,3,0,2,9,9
1,1,9,3,1,1,9,9
1,1,9,3,1,2,9,9
1,1,9,4,0,1,9,9
1,1,9,4,0,2,9,9
1,1,9,4,1,1,9,9
1,1,9,4,1,2,9,9
1,2,9,1,0,1,9,9
1,2,9,1,0,2,9,9
1,2,9,1,1,1,9,9
1,2,9,1,1,2,9,9
1,2,9,3,0,1,9,9
1,2,9,3,0,2,9,9
1,2,9,3,1,1,9,9
1,2,9,3,1,2,9,9
1,2,9,4,0,1,9,9
1,2,9,4,0,2,9,9
1,2,9,4,1,1,9,9
1,2,9,4,1,2,9,9
1,3,9,1,0,1,9,9
1,3,9,1,0,2,9,9
1,3,9,1,1,1,9,9
1,3,9,1,1,2,9,9
1,3,9,2,0,1,9,9
1,3,9,2,0,2,9,9
1,3,9,2,1,1,9,9
1,3,9,2,1,2,9,9
1,3,9,4,0,1,9,9
1,3,9,4,0,2,9,9
1,3,9,4,1,1,9,9
1,3,9,4,1,2,9,9
1,4,9,1,0,1,9,9
1,4,9,1,0,2,9,9
1,4,9,1,1,1,9,9
1,4,9,1,1,2,9,9
1,4,9,2,0,1,9,9
1,4,9,2,0,2,9,9
1,4,9,2,1,1,9,9
1,4,9,2,1,2,9,9
1,4,9,3,0,1,9,9
1,4,9,3,0,2,9,9
1,4,9,3,1,1,9,9
1,4,9,3,1,2,9,9
2,9,1,1,0,9,1,1
2,9,1,1,1,9,2,1
2,9,1,2,0,9,2,0
2,9,1,2,1,9,1,0
2,9,1,3,0,9,1,0
2,9,1,3,1,9,2,0
2,9,1,4,0,9,2,0
2,9,1,4,1,9,1,0
2,9,2,1,0,9,1,0
2,9,2,1,1,9,2,0
2,9,2,2,0,9,2,1
2,9,2,2,1,9,1,1
2,9,2,3,0,9,1,0
2,9,2,3,1,9,2,0
2,9,2,4,0,9,2,0
2,9,2,4,1,9,1,0
2,9,3,1,0,9,1,0
2,9,3,1,1,9,2,0
2,9,3,2,0,9,2,0
2,9,3,2,1,9,1,0
2,9,3,3,0,9,1,1
2,9,3,3,1,9,2,1
2,9,3,4,0,9,2,0
2,9,3,4,1,9,1,0
2,9,4,1,0,9,1,0
2,9,4,1,1,9,2,0
2,9,4,2,0,9,2,0
2,9,4,2,1,9,1,0
2,9,4,3,0,9,1,0
2,9,4,3,1,9,2,0
2,9,4,4,0,9,2,1
2,9,4,4,1,9,1,1
2,9,1,1,0,9,1,1
2,9,1,1,1,9,2,1
2,9,1,2,0,9,2,0
2,9,1,2,1,9,1,0
2,9,1,3,0,9,1,0
2,9,1,3,1,9,2,0
2,9,1,4,0,9,2,0
2,9,1,4,1,9,1,0
2,9,2,1,0,9,1,0
2,9,2,1,1,9,2,0
2,9,2,2,0,9,2,1
2,9,2,2,1,9,1,1
2,9,2,3,0,9,1,0
2,9,2,3,1,9,2,0
2,9,2,4,0,9,2,0
2,9,2,4,1,9,1,0
2,9,3,1,0,9,1,0
2,9,3,1,1,9,2,0
2,9,3,2,0,9,2,0
2,9,3,2,1,9,1,0
2,9,3,3,0,9,1,1
2,9,3,3,1,9,2,1
2,9,3,4,0,9,2,0
2,9,3,4,1,9,1,0
2,9,4,1,0,9,1,0
2,9,4,1,1,9,2,0
2,9,4,2,0,9,2,0
2,9,4,2,1,9,1,0
2,9,4,3,0,9,1,0
2,9,4,3,1,9,2,0
2,9,4,4,0,9,2,1
2,9,4,4,1,9,1,1
1,1,9,2,0,1,9,9
1,1,9,3,1,2,9,9
1,1,9,4,0,2,9,9
1,2,9,1,1,1,9,9
1,2,9,3,0,1,9,9
1,2,9,4,1,2,9,9
1,3,9,1,0,2,9,9
1,3,9,2,1,1,9,9
1,3,9,4,0,1,9,9
1,4,9,1,1,2,9,9
1,4,9,2,0,2,9,9
1,4,9,3,1,1,9,9
1,1,9,4,0,1,9,9
1,2,9,3,1,2,9,9
1,3,9,2,0,2,9,9
1,4,9,1,1,1,9,9
